Family;Genus;Species;Species English
Balistidae;Abalistes;stellatus;Starry Triggerfish
Antennariidae;Abantennarius;nummifer;
Synanceiidae;Ablabys;macracanthus;Spiny Waspfish
Synanceiidae;Ablabys;taenianotus;Cockatoo Waspfish
Pomacentridae;Abudefduf;bengalensis;Bengal Sergeant
Pomacentridae;Abudefduf;lorenzi;Blacktail Sergeant
Pomacentridae;Abudefduf;notatus;Yellowtail Sergeant
Pomacentridae;Abudefduf;septemfasciatus;Banded Sergeant
Pomacentridae;Abudefduf;sexfasciatus;Scissortail Sergeant
Pomacentridae;Abudefduf;sordidus;Blackspot Sergeant
Pomacentridae;Abudefduf;vaigiensis;Pacific Sergeant
Pomacentridae;Acanthochromis;polyacanthus;Spiny Chromis
Sparidae;Acanthopagrus;berda;Goldsilk Seabream
Sparidae;Acanthopagrus;bifasciatus;Doublebar Bream
Acanthuridae;Acanthurus;auranticavus;Fine-Lined Surgeonfish
Acanthuridae;Acanthurus;blochii;Ringtail Surgeonfish
Acanthuridae;Acanthurus;dussumieri;Eyestripe Surgeonfish
Acanthuridae;Acanthurus;gahhm;Black Surgeonfish
Acanthuridae;Acanthurus;grammoptilus;Inshore Surgeonfish
Acanthuridae;Acanthurus;guttatus;White-Spotted Surgeonfish
Acanthuridae;Acanthurus;japonicus;Japanese Surgeonfish
Acanthuridae;Acanthurus;leucocheilus;Pale-Lipped Surgeonfish
Acanthuridae;Acanthurus;leucosternon­;
Acanthuridae;Acanthurus;lineatus;Striped Surgeonfish
Acanthuridae;Acanthurus;mata;Yellowmask Surgeonfish
Acanthuridae;Acanthurus;nigricans;Whitecheek Surgeonfish
Acanthuridae;Acanthurus;nigricauda;Blackstreak Surgeonfish
Acanthuridae;Acanthurus;nigrofuscus;Dusky Surgeonfish
Acanthuridae;Acanthurus;nubilus;Dark Surgeonfish
Acanthuridae;Acanthurus;olivaceus;Orangeband Surgeonfish
Acanthuridae;Acanthurus;pyroferus;Mimic Surgeonfish
Acanthuridae;Acanthurus;sohal;Sohal Surgeonfish
Acanthuridae;Acanthurus;thompsoni;Thompson's Surgeonfish
Acanthuridae;Acanthurus;triostegus;Convict Surgeonfish
Acanthuridae;Acanthurus;xanthopterus;Yellowfin Surgeonfish
Gobiidae;Acentrogobius;cenderawasih;Cendarawasih Goby
Syngnathidae;Acentronura;breviperula;Shortpouch Pygmy Pipehorse
Monacanthidae;Acreichthys;radiatus;Radial Leatherjacket
Monacanthidae;Acreichthys;tomentosus;Bristle-Tailed Filefish
Centriscidae;Aeoliscus;strigatus;Hinged Shrimpfish
Epinephelidae;Aethaloperca;rogaa;Redmouth Grouper
Aetobatidae;Aetobatus;ocellatus;Spotted Eagle Ray
Microdesmidae;Aioliops;novaeguineae;Mini Dartfish
Blenniidae;Alloblennius;jugularis;Jugular Blenny
Blenniidae;Alloblennius;pictus;Bluebelly Blenny
Alopiidae;Alopias;pelagicus;Pelagic Thresher Shark
Blenniidae;Alticus;magnusi;Magnus' Blenny
Monacanthidae;Aluterus;monoceros;Unicorn leatherjacket filefish
Monacanthidae;Aluterus;scriptus;Scrawled Filefish
Monacanthidae;Amanses;scopas;Broom Filefish
Ambassidae;Ambassis;urotaenia;Banded-Tail Glassy
Ambassidae;Ambassis;vachellii;Vachell's Glassfish
Gobiidae;Amblyeleotris;arcupinna;Arcfin Shrimpgoby
Gobiidae;Amblyeleotris;diagonalis;Slantbar Shrimpgoby
Gobiidae;Amblyeleotris;fasciata;Variable Shrimpgoby Not Fasciatus
Gobiidae;Amblyeleotris;fontanesii;Giant Shrimpgoby
Gobiidae;Amblyeleotris;guttata;Spotted Shrimpgoby
Gobiidae;Amblyeleotris;gymnocephala;Nakedhead Shrimpgoby
Gobiidae;Amblyeleotris;latifasciata;Wide-Barred Shrimpgoby
Gobiidae;Amblyeleotris;masuii;Masui's Shrimpgoby
Gobiidae;Amblyeleotris;ogasawarensis;Redspotted Shrimpgoby
Gobiidae;Amblyeleotris;periophthalma;NA
Gobiidae;Amblyeleotris;randalli;Randalls Shrimpgoby
Gobiidae;Amblyeleotris;rubrimarginata;Red-Margin Shrimpgoby
Gobiidae;Amblyeleotris;species2;NA
Gobiidae;Amblyeleotris;steinitzi;Steinitz' Shrimpgoby
Gobiidae;Amblyeleotris;sungami;Magnus's Shrimpgoby
Gobiidae;Amblyeleotris;wheeleri;Barred Shrimpgoby
Gobiidae;Amblyeleotris;yanoi;Flagtail Shrimpgoby
Pomacentridae;Amblyglyphidodon;aureus;Golden Damsel
Pomacentridae;Amblyglyphidodon;batunaorum;Batunas Damselfish
Pomacentridae;Amblyglyphidodon;curacao;Staghorn Damsel
Pomacentridae;Amblyglyphidodon;flavilatus;Yellowside Damsel
Pomacentridae;Amblyglyphidodon;flavopurpureus;Cenderawasih Damselfish
Pomacentridae;Amblyglyphidodon;indicus;Pale Damselfish
Pomacentridae;Amblyglyphidodon;leucogaster;White-Belly Damsel
Pomacentridae;Amblyglyphidodon;ternatensis;Ternate Damselfish
Gobiidae;Amblygobius;albimaculatus;Tailspot Goby
Gobiidae;Amblygobius;calvatus;Baldhead Siltgoby
Gobiidae;Amblygobius;decussatus;Crosshatch Goby
Gobiidae;Amblygobius;esakiae;Snoutspot Goby
Gobiidae;Amblygobius;nocturnus;Orange-Striped Goby
Gobiidae;Amblygobius;phalaena;Whitebarred Goby
Gobiidae;Amblygobius;semicinctus;Halfbanded Goby
Gobiidae;Amblygobius;sphynx;Sphynx Goby
Pomacentridae;Amblypomacentrus;breviceps;Black-Banded Demoiselle
Pomacentridae;Amblypomacentrus;clarus;Banggai Damselfish
Labridae;Ammolabrus;dicrus;Sand Wrasse
Pomacentridae;Amphiprion;biaculeatus;Spinecheek Anemonefish
Pomacentridae;Amphiprion;bicinctus;Twoband Anemonefish
Pomacentridae;Amphiprion;clarkii;Clark's Anemonefish
Pomacentridae;Amphiprion;frenatus;Tomato Anemonefish - Red
Pomacentridae;Amphiprion;melanopus;Red And Black Anemonefish
Pomacentridae;Amphiprion;ocellaris;False Clown Anemonefish
Pomacentridae;Amphiprion;percula;Clown Anemonefish
Pomacentridae;Amphiprion;perideraion;Pink Anemonefish
Pomacentridae;Amphiprion;polymnus;Saddleback Anemonefish
Pomacentridae;Amphiprion;sandaracinos;Orange Anemonefish
Labridae;Anampses;caeruleopunctatus;Bluespotted Wrasse
Labridae;Anampses;geographicus;Geographic Wrasse
Labridae;Anampses;lineatus;Lined Wrasse
Labridae;Anampses;melanurus;White-Spotted Wrasse
Labridae;Anampses;meleagrides;Yellowtail Wrasse
Labridae;Anampses;twistii;Yellowbreasted Wrasse
Callionymidae;Anaora;tentaculata;Leafy Dragonet
Antennariidae;Antennarius;commerson;Giant Frogfish
Antennariidae;Antennarius;hispidus;Hispid Frogfish
Antennariidae;Antennarius;maculatus;Warty Frogfish
Antennariidae;Antennarius;pictus;Painted Frogfish
Antennariidae;Antennarius;striatus;Striated Frogfish
Epinephelidae;Anyperodon;leucogrammicus;Slender Grouper
Cyprinodontidae;Aphaniops;dispar;Arabian Pupfish
Lutjanidae;Aphareus;furca;Smalltooth Jobfish
Lutjanidae;Aphareus;rutilans;Rusty Jobfish
Apogonidae;Apogon;ceramensis;Mangrove Cardinalfish
Apogonidae;Apogon;doryssa;Longspine Cardinalfish
