Family;Genus;Species;Species English;Bangka;Red Sea;Both;All
Acanthuridae;Acanthurus;auranticavus;Fine-Lined Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;blochii;Ringtail Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;dussumieri;Eyestripe Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;gahhm;Black Surgeonfish;1;1;1;1
Acanthuridae;Acanthurus;grammoptilus;Inshore Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;guttatus;White-Spotted Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;japonicus;Japanese Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;leucocheilus;Pale-Lipped Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;lineatus;Striped Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;mata;Yellowmask Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;nigricans;Whitecheek Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;nigricauda;Blackstreak Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;nigrofuscus;Dusky Surgeonfish;1;1;1;1
Acanthuridae;Acanthurus;nubilus;Dark Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;olivaceus;Orangeband Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;pyroferus;Mimic Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;sohal;Sohal Surgeonfish;1;1;1;1
Acanthuridae;Acanthurus;thompsoni;Thompson's Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;triostegus;Convict Surgeonfish;1;0;0;1
Acanthuridae;Acanthurus;xanthopterus;Yellowfin Surgeonfish;1;0;0;1
Acanthuridae;Ctenochaetus;binotatus;Twospot Bristletooth;1;0;0;1
Acanthuridae;Ctenochaetus;cyanocheilus;Bluelip Bristletooth;1;0;0;1
Acanthuridae;Ctenochaetus;striatus;Lined Bristletooth;1;1;1;1
Acanthuridae;Ctenochaetus;tominiensis;Orangetip Bristletooth;1;0;0;1
Acanthuridae;Ctenochaetus;truncatus;Indian Gold-Ring Bristletooth;1;0;0;1
Acanthuridae;Naso;annulatus;Whitemargin Unicornfish;1;0;0;1
Acanthuridae;Naso;brachycentron;Humpback Unicornfish;1;0;0;1
Acanthuridae;Naso;brevirostris;Spotted Unicornfish;1;1;1;1
Acanthuridae;Naso;caeruleacauda;Bluetail Unicornfish;1;0;0;1
Acanthuridae;Naso;caesius;Grey Unicornfish;1;0;0;1
Acanthuridae;Naso;elegans;Red Sea Orange-Spine Unicornfish;1;1;1;1
Acanthuridae;Naso;hexacanthus;Sleek Unicornfish;1;1;1;1
Acanthuridae;Naso;lituratus;Orange-Spine Unicornfish;1;0;0;1
Acanthuridae;Naso;lopezi;Slender Unicornfish;1;0;0;1
Acanthuridae;Naso;mcdadei;Squarenose Unicornfish;1;0;0;1
Acanthuridae;Naso;minor;Blackspine Unicornfish;1;0;0;1
Acanthuridae;Naso;thynnoides;Onespine Unicornfish;1;0;0;1
Acanthuridae;Naso;unicornis;Bluespine Unicornfish;1;1;1;1
Acanthuridae;Naso;vlamingii;Bignose Unicorn;1;0;0;1
Acanthuridae;Paracanthurus;hepatus;Palette Surgeonfish;1;0;0;1
Acanthuridae;Zebrasoma;desjardinii;Indian Sailfin Tang;1;1;1;1
Acanthuridae;Zebrasoma;flavescens;Yellow Tang;1;0;0;1
Acanthuridae;Zebrasoma;scopas;Brushtail Tang;1;0;0;1
Acanthuridae;Zebrasoma;velifer;Pacific Sailfin Tang;1;0;0;1
Acanthuridae;Zebrasoma;xanthurum;Yellowtail Tang;1;1;1;1
Aetobatidae;Aetobatus;ocellatus;Spotted Eagle Ray;1;1;1;1
Alopiidae;Alopias;pelagicus;Pelagic Thresher Shark;1;0;0;1
Ambassidae;Ambassis;urotaenia;Banded-Tail Glassy;1;0;0;1
Ambassidae;Ambassis;vachellii;Vachell's Glassfish;1;0;0;1
Antennariidae;Abantennarius;nummifer;NA;1;0;0;1
Antennariidae;Antennarius;commerson;Giant Frogfish;1;1;1;1
Antennariidae;Antennarius;hispidus;Hispid Frogfish;1;0;0;1
Antennariidae;Antennarius;maculatus;Warty Frogfish;1;0;0;1
